Course Page,Section,PDF Title,PDF URL,resource-type,Down_link,topic-link,topic-link 2,topic-link 3
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,ea6fff400434e4163a91c1579ccf7236_MIT2_61S17_lec7.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/ea6fff400434e4163a91c1579ccf7236_MIT2_61S17_lec7.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,6ec38b3fc5493e328115e0a49a565f35_MIT2_61S17_lec8.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/6ec38b3fc5493e328115e0a49a565f35_MIT2_61S17_lec8.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,f8aec73c2e9233c4e8e3674d77428483_MIT2_61S17_lec9.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/f8aec73c2e9233c4e8e3674d77428483_MIT2_61S17_lec9.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,35c1c5bbf304c0f41e1de0cec0b0ee85_MIT2_61S17_lec10.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/35c1c5bbf304c0f41e1de0cec0b0ee85_MIT2_61S17_lec10.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,37be0f6e7601d3239a746095c1a6f91d_MIT2_61S17_lec11-12.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/37be0f6e7601d3239a746095c1a6f91d_MIT2_61S17_lec11-12.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,df03c0cc8618b09b87121b6ee9f0eddb_MIT6_012F09_lec10_ccd.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/df03c0cc8618b09b87121b6ee9f0eddb_MIT6_012F09_lec10_ccd.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,c5d77f1bbdd91687cf4173d3de2c6574_MIT6_012F09_lec15_cmos.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/c5d77f1bbdd91687cf4173d3de2c6574_MIT6_012F09_lec15_cmos.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,9181057dd1fc814055e9f56f32d91cfa_MIT6_012F09_lec16_scaling.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/9181057dd1fc814055e9f56f32d91cfa_MIT6_012F09_lec16_scaling.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,5c58a51e629ef0505139e7a4cf72f2fd_MIT6_012F09_lec03_photo.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/5c58a51e629ef0505139e7a4cf72f2fd_MIT6_012F09_lec03_photo.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,0eddab43e246fc2d62368fe37516020c_MIT6_012F09_lec14_inverter.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/0eddab43e246fc2d62368fe37516020c_MIT6_012F09_lec14_inverter.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,9316abd63cab09e54a7ace6606466725_MIT6_012F09_lec14_delays.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/9316abd63cab09e54a7ace6606466725_MIT6_012F09_lec14_delays.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,d73e9baf5e8da993b7956eab4adcf04a_MIT6_012F09_lec11_drain.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/d73e9baf5e8da993b7956eab4adcf04a_MIT6_012F09_lec11_drain.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,d1575750e6746e5bccb23f27b5908322_MIT6_012F09_lec12_sub.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/d1575750e6746e5bccb23f27b5908322_MIT6_012F09_lec12_sub.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,eeb94eab00ebb62a3fde0eec1484bc08_MIT6_012F09_lec11_gradual.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/eeb94eab00ebb62a3fde0eec1484bc08_MIT6_012F09_lec11_gradual.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Lecture Notes,9fce7430fe6c477c2f619ddac1e7eb1a_MIT6_012F09_lec21_cascode.pdf,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/9fce7430fe6c477c2f619ddac1e7eb1a_MIT6_012F09_lec21_cascode.pdf,6.012 | Undergraduate,https://ocw.mit.edu/courses/6-012-microelectronic-devices-and-circuits-fall-2009/download,Engineering,Computer Science,Electronics
